lei,bic,legalName,countryCode
213800664QK4P9O4WC58,CRROITM1XXX,"PIONEER GLOBAL ASSET MANAGEMENT SPA",IT
213800YPC42DYBKVPF97,PMLNGB2LXXX,"PREMIER OIL PLC",GB
213800H2UOPJDGKRTY19,CRRCPTP1XXX,"BANCO BNP PARIBAS PERSONAL FINANCE, S.A.",PT
213800Z1OEDYC7RETU96,PSVBLALAXXX,"PHONGSAVANH BANK LIMITED",LA
CGKPTUL0E6IIWC1NOM75,PAIBGB21XXX,"BNP PARIBAS UK LIMITED",GB
2138002LI3FHE8CMMU59,UFUTGB21XXX,"ROYAL LONDON UNIT TRUST MANAGERS LIMITED",GB
213800XX1TM8TUHLXB71,RLNOGB21XXX,"RLAM (NOMINEES) LIMITED",GB
2138001A11QZTEW6I690,UNFIGB21XXX,"UNITED FRIENDLY INSURANCE LIMITED",GB
2138003C8L1NMOC32U74,SQCLGB21XXX,"G SQUARED CAPITAL LLP",GB
549300APETHCFVBSH009,BRHRILI1XXX,"BREVAN HOWARD (ISRAEL) LTD",IL
2138004XB9VDV2ENW753,APSCSES1XXX,"APS CAPITAL AB",SE
213800Q994TP8GO7IC25,MIATGB21XXX,"MILLBANK INVESTMENT MANAGERS LIMITED",GB
213800P6JVHRWB8UK129,PAYRGB2LXXX,"PAYRNET LIMITED",GB
213800B5H2YBMFMFGX72,MOUICH21XXX,"MONDO TV (SUISSE) SA",CH
2138006AKN4JTH2PUC90,FMSECY21XXX,"FMC SECURITIES LIMITED",CY
213800Y363SHWLPAL304,AUSVMTM1XXX,"AURORA SICAV P.L.C.",MT
2138009RSHBBFY9NQA62,BICIGALXXXX,"BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DU GABON",GA
2138004GV27BUAY7O765,BICISNDXXXX,"BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DU SENEGAL",SN
213800SPKRBBB549EH83,UBCITNTTXXX,"UNION BANCAIRE POUR LE COMMERCE ET L'INDUSTRIE",TN
2138009IVDK5K9E6X944,BNPADZALXXX,"BNP PARIBAS EL DJAZAÏR",DZ
213800YIJVX7WSX9MI62,BICIBFBXXXX,"BANQUE INTERNATIONALE POUR LE COMMERCE, L'INDUSTRIE ET L'AGRICULTURE DU BURKINA",BF
213800AN74H6CW4MAP75,BICICIABXXX,"BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE CÔTE D'IVOIRE",CI
2138002U29YTPPRF1O03,BICIGNCXXXX,"BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE LA GUINÉE. - SA",GN
213800WCDKGGIDUWKE14,BICIMLBAXXX,"BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE AU MALI",ML
213800TW3BMETPAIIV03,ALWEGB21XXX,"ALTANA WEALTH LIMITED",GB
213800AWTJESHH3ZZM26,ISTNGB21XXX,"INTERNATIONAL STRATEGY ",GB
21380011TCD1B8OL2898,DBSUGB21XXX,"DBS VICKERS SECURITIES (UK) LIMITED",GB
2138006QBN4BY5TE7574,WHHOGB21XXX,"WHITMAN HOWARD LIMITED",GB
2138008P9NOMBRMROI73,LLCMDE22XXX,"LLOYDS BANK CORPORATE MARKETS WERTPAPIERHANDELSBANK GMBH",DE
2138004B394AFP9NMZ67,WEATGB21XXX,"WEALTHTIME LIMITED",GB
213800UW4Q5SEGFJLJ86,SADMDK21XXX,"SYD FUND MANAGEMENT A/S",DK
2138007RMZJ9ZLEO9N66,KHABUA2KXXX,"JOINT STOCK COMPANY """"UKRSIBBANK""""",UA
213800IM7OJT6Z9NRD26,HRBSGB21XXX,"HINCKLEY AND RUGBY BUILDING SOCIETY",GB
213800GW3YZJDBPALN37,NUSUUS31XXX,"NUMIS SECURITIES INC.",US
213800Z2GUSRPYZB7X42,NOGPGB21XXX,"NORTHLIGHT GROUP LLP",GB
213800CUNRETRSSNVJ95,MRPLGB21XXX,"MARYLEBONE PARTNERS LLP",GB
213800AO767EAB3LIZ88,LUBIIE21XXX,"LOMBARD IRELAND LIMITED",IE
IS8DZW1TZSQ8YPXVRC46,RSELNL21XXX,"ROBECO INSTITUTIONAL ASSET MANAGEMENT B.V.",NL
213800GLM2OXWNDZR376,AONSZAJJXXX,"ARGON SECURITIES (PTY) LTD",ZA
213800XJY1CUVMC29H81,RCINGB23XXX,"RCI BANK UK LIMITED",GB
213800ZBWY3BU3UUMA42,NEDSZAJJXXX,"NEDBANK LIMITED",ZA
213800DL8OJU4EUDND95,HAIGGB21XXX,"HAWKSMOOR INVESTMENT MANAGEMENT LIMITED",GB
QHBGK66HXMWOEPOCKW80,BRHWGB21XXX,"BREVAN HOWARD ASSET MANAGEMENT LLP",GB
213800LPLRYOVLFVSZ63,HGCFGB21XXX,"RBOS (UK) LIMITED",GB
213800SKEP4JH8FNEL05,GKGTSGS1XXX,"CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD",SG
